eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Adrastea,FALSE,129000,0,0,0.002,0.054,1,0.002,0,8,0,0,0,10 x 8 x 7,0.29826,0.7158,08/07/1979,2000000000000000,NA,Secondary,Jupiter,NA,NA,NA,5.39806201550388,971.651162790698,1.31988104804585E-10,1.05263157894737E-12,0.000862311738773,1.59620936241812E+019
Metis,FALSE,128000,127974,128026,0.001,0.019,1,0.005,0,22,0,0,0,30 x 20 x 17,0.29478,0.7075,04/03/1979,1E+017,NA,Secondary,Jupiter,NA,NA,NA,5.44034375,979.261875,9.98160042584671E-10,5.26315789473684E-11,0.00085562715165,8.10623779296875E+020
Callirrhoe,FALSE,24102000,0,0,0.283,147.1,1,0.0031,0,4,0,0,0,NA,758.8,0,06/10/1999,870000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.028891627250851,5.2004929051531,3.29970262011461E-11,4.57894736842105E-13,0.161111918820914,198908053353118
Themisto,FALSE,7507000,5909000,8874300,0.242,43.08,1,0.0029,0,4,0,0,0,NA,130.02,0,30/09/1975,690000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.092759557746104,16.6967203942987,3.29970262011461E-11,3.63157894736842E-13,0.050181195526869,1626131032199085
Megaclite,FALSE,14146700,0,0,0.421,152.8,1,0,0,2.7,0,0,0,NA,752.8,0,23/11/2000,210000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.049223119172669,8.86016145108046,1.50342700628972E-11,1.10526315789474E-13,0.094564848642595,139363256461462
Taygete,FALSE,23363000,0,0,0.252,165.2,1,0,0,2.5,0,0,0,NA,732.2,0,23/11/2000,160000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029805440225998,5.36497924067971,1.28894633598227E-11,8.42105263157895E-14,0.156172008937558,38931581249098.2
Chaldene,FALSE,23179000,0,0,0.251,165.2,1,0,0,1.9,0,0,0,NA,723.8,0,23/11/2000,75000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.030042016480435,5.40756296647828,7.4449540366336E-12,3.94736842105263E-14,0.15494204490706,18540060677313.5
Harpalyke,FALSE,21104000,0,0,0.226,148.6,1,0,0,2.2,0,0,0,NA,623.3,0,23/11/2000,120000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.032995839651251,5.93925113722517,9.98160042584671E-12,6.31578947368421E-14,0.141071526628353,35784171647714.8
Kalyke,FALSE,23564000,0,0,0.245,165.2,1,0,0,2.6,0,0,0,NA,743,0,23/11/2000,190000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029551205228314,5.31921694109659,1.39412435699842E-11,1E-13,0.157515610949134,45445914968415.2
Iocaste,FALSE,21272000,0,0,0.216,149.4,1,0,0,2.6,0,0,0,NA,631.5,0,23/11/2000,190000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.032735267017676,5.89234806318165,1.39412435699842E-11,1E-13,0.142194537264894,55766865029834
